stop_id, route_id, stop_name
1,  1,  火车站
2,  1,  中山路
3,  1,  金山公园
4,  1,  西津渡
5,  1,  镇江博物馆
6,  1,  大市口
7,  1,  梦溪广场
8,  2,  南门外
9,  2,  第一人民医院
10, 2,  江苏大学
2,  2,  中山路
11, 2,  黄山公园
12, 2,  学府路
13, 2,  东吴路
29, 2,  花山湾
14, 3,  世纪花园
15, 3,  金山湖
16, 3,  南山风景区
2,  3,  中山路
17, 3,  滨江新城
18, 3,  三山公园
19, 3,  丁卯桥
20, 4,  北府路
21, 4,  万达广场
6,  4,  大市口
22, 4,  迎江路
23, 4,  西站
24, 4,  镇江体育馆
25, 4,  京口区政府
26, 4,  翠竹园
27, 5,  小东门
28, 5,  江滨大道
29, 5,  花山湾
26, 5,  翠竹园
30, 5,  南门外
31, 5,  运河路
32, 5,  光明小区
33, 5,  南徐大道
34, 5,  九华山
